JOAO|333.333.333-33|PASTEL|5|SALGADOS|10|27/03/2023
JOAO|32132322|PASTEL|5|SALGADOS|10|27/03/2023
JOAO|23131232|PASTEL|5|SALGADOS|10|27/03/2023
JOAO|3213123|PASTEL|5|SALGADOS|10|27/03/2023
JOAO|32132132133|PASTEL|5|SALGADOS|10|31/03/2023
JOAO|3213213123|PASTEL|5|SALGADOS|10|31/03/2023
JOAO|32132132132|PASTEL|5|SALGADOS|10|31/03/2023
JOAO|3213213123|PASTEL|5|SALGADOS|10|31/03/2023
JOAO|321321312|PASTEL|5|SALGADOS|10|31/03/2023
JOAO|31231231|PASTEL|5|SALGADOS|10|31/03/2023
JOAO|321312312|PASTEL|5|SALGADOS|10|31/03/2023
JOAO|32131231|PASTEL|5|SALGADOS|10|31/03/2023
JOAO|3213213123|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|32131312321|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|3212313123|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|312312323232|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|31232321|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|23231231232|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|32131312|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|213213123|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|23123132123|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|2312312121|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|21312323|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|31231231|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|2312312312|PASTEL|5|SALGADOS|10|01/04/2023
JOAO|31231231|PASTEL|5|SALGADOS|10|02/04/2023
JOAO|3132312313|PASTEL|5|SALGADOS|10|02/04/2023
JOAO|23132131|PASTEL|5|SALGADOS|10|02/04/2023
JOAO|3123131|PASTEL|5|SALGADOS|10|02/04/2023
JOAO|2312131331|PASTEL|5|SALGADOS|10|02/04/2023
JOAO|123123123|PASTEL|5|SALGADOS|10|02/04/2023
